comments,labels
"বাজে নেটওয়ার্ক,, 3জি পায়না,,4জি তো দূরের কথা",CNI
মাটির নিচে গেলেও নেটওয়ার্ক চাঙ্গা থাকে,CNI
B*l o payy na network,CNI
আমাদের এখানে নেটওয়ার্ক ঠিক আছে তবে আপনাদের অফার গুলা ভালো না,CNI
বাংলালিংক এর নেট স্পিড,CNI
গ্রামে নেটওয়ার্ক প্রবলেম হয় তাই কোনোটাই ব্যবহার করা হয় না,CNI
"Ami r banglalink a taka, mb kicu recharge kortam na.",MFS
বাংলালিংক মানেই ফার্স্ট 4,CNI
৩০ টাকায় ৩০ দিনের জন্য ৫০০ এসএমএস বান্ডেল অফারটি ক্রয় করতে অনুগ্রহ করে *১২১*২*৮# ডায়াল করুন অথবা ভিজিট করুন মাই বাংলালিংক অ্যাপ। এই এসএমএসগুলো বাংলালিংক সহ যেকোনো নম্বরে-এ ব্যবহার করতে পারবেন। এসএমএস ব্যালেন্স চেক করতে অনুগ্রহ করে ডায়া… See more,DP
আপনাদের যে নেটওয়ার্ক 'যায় যায় দিন' আর স্পিড তো নাই বললে চলে। বিজ্ঞাপনে টাকা নষ্ট না করে সেবা খ্যাতে ব্যায় করুন।,CNI
্যে সবচেয়ে ফালতু নেটওয়ার্ক সিস্টেম । গ্রামীণ সিম অনেক অনেক বেস্ট নেটওয়ার্ক ।,CNI
আমি আপনাদের 4G সিম ব্যবহার করেও 3G/H+ নেটওয়ার্ক পাই 4G কাভারেজ এরমধ্যে থেকে। তাহলে কিভাবে আপনাদের সিম ইউজ করা যাবে এত যদি স্লো কাজ করে????,CNI
কি আর বলবো ভাই ইন্টারনেটের দাম এত কেন আর বাংলালিংকে অনেক নেট কাটে অল্প সময় চালালে বুঝিনা আপনাদের বাংলালিংক নেটওয়ার্ক আরো শক্তি শালি হইছে তার জন্য কি ইন্টারনেটের দাম বারাই ছেন,CNI
বাংলালিংক গ্রাহকদের জন্য সবসময় আকর্ষণীয় অফার দিয়ে থাকে। বাংলালিংক-এর সাশ্রয়ী মূল্যের আকর্ষণীয় বিভিন্ন মিনিট/ইন্টারনেট অফার পেতে –… See more,DP
এখানে কথা বলা জাই না আর তো ইন্টারনেট,CNI
মিথ্যাবাদীর বংশধর banglalink নেটওয়ার্ক,CNI
Banglalink Digital সব সেটিংস ঠিক আছে। সমস্যা আপনাদের ইন্টারনেট ব্যাবস্থায়। আমি নিজে আপনাদের পেজে অভিযোগ জানাতে এসে দেখি অসংখ্য মানুষ ভুক্তভোগী। আপনাদের ইন্টারনেট সার্ভিস এর উন্নয়ন করুন।,CNI
আমাদের এরিয়ায় নেটওয়ার্ক ই থাকে না। অন্ন সিমের নেটওয়ার্ক ভালোই,CNI
"ভাইরে ভাই,,,,নেটওয়ার্ক এর জন্য শান্তি নাই,,,,গ্রামীন নেটওয়ার্ক কারেন্ট চলে গেলে থাকে না,,,,",CNI
Banglalink Digital আরে ভাই নেটওয়ার্ক ঠিক করেন..,CNI
বাংলালিংক কয়দিন ধরে নেটওয়ার্ক সমস্যা এমনি বলে নেট কাজ করে না,CNI
"আমাদের এলাকায় নেট স্পিড বেশ ভালো। মোটামুটি সব সময় ই 1mb/s দেয়। সকাল বা ভোরে ৭/৮ mb/s ও দেয়। কিন্তু সমস্যা টা হলো, প্যাকেজ গুলোর দাম অত্যাধিক। অফার গুলো খুব একটা ভালো নাহ।",DP
বাংলালিংক নেটওয়ার্ক একদম দুর্বল এদের হারবাল খাওয়ানো উচিৎ,CNI
আমাদের এলাকায় ১জি ও পায় না।হেতের আবার ৪ জি,CNI
"আমাদের প্রিপেইড সিমের বেইস প্যাকেজ “বাংলালিংক দেশ এক রেট দারুন” প্যাকেজে দিন রাত ২৪ ঘণ্টা যেকোনো নাম্বারে ২৬ পয়সা/১০ সেকেন্ড (ভ্যাট, এসডি ও এসসি প্রযোজ্য হবে) কল রেটে কথা বলতে পারবেন। … See more",DP
আমাদের এই দিকে বাংলালিংক ভালো নেট নাই ডাটা চালু করলে ই ধরে থাকে,CNI
আগে নেটওয়ার্ক বা নেট ইন্টারনেট স্পিড নজর দেন,CNI
"বাংলালিংক মানেই,, ফালতু সিম,,, নেট সার্ভিস তো থাকেই না,,, চাপা তো আর কম মারে না",CNI
"একটাও না কারণ খুব বাজে নেটওয়ার্ক,কথাই শোনা যায় না",CNI
বর্তমানে এখন বাংলা লিংকের নেটওয়ার্কের স্পিড প্রচুর খারাপ,CNI
দেশের সব চেয়ে দুর্বল নেটওয়ার্ক।,CNI
"২ টাই, কিন্তু নেটওয়ার্ক স্লো,",CNI
ভালোই নেটওয়ার্ক পায়,CNI
Banglalink Digital আমি তো কোন অভিযোগ করিনি ! বরঞ্চ নেটওয়ার্ক ভালো - সেই কথা বলেছি !,CNI
"চালাই ২বছর ধরে কিন্তু বাসায় নেটওয়ার্ক তাকে না খুব সমস্যায় আছি, এটার কি কোনো সমাধান আছে?",CNI
"ইন্টারনেট প্যাক গুলা আরেকটু সাশ্রয়ী করা দরকার, নাহয় খুব বেশিদিন BL এর সাথে থাকা পসিবল হবে না।",CNI
ঝরের সাথে নেটওয়ার্ক ও উরে গেছে,CNI
"বাজে নেটওয়ার্ক ঘরের ভিতরে 2G পায়। কোথাও কল করতে পারব না, এখানেই বলছি পারলে একটা টাওয়ার দিয়া জায়েন আমাদের এই দিকে",CNI
আমাদের এলাকায় বাংলালিংক এ একদম নেটওয়ার্ক নেই,CNI
বাংলালিংক এর সিমের নেটওয়ার্ক এত সমস্যা যে ইন্টারনেট তো দূরের কথা কথার বলার নেটও নাই।এই জন্য সিম সহ বন্ধ করে দিছি।যত্তসব পালতু সিম,CNI
১।আগের থেকে নেট সিগন্যাল অনেক দূর্বল হয়ে গেছে।,CNI
২।প্যাকেজের দাম অনেক বেশি বাড়িয়েছেন।ষ্কিটো সিমে আপনাদের থেকে অনেক কম দামে ইন্টারনেট প্যাকেজ পাওয়া যায়।… See more,CNI
নেট ওয়ার্ক ভালো আরো ভাল হবে বলে আশাবাদী,CNI
বাংলালিংকের যে শক্তিশালী নেটওয়ার্ক আমাদের এলাকায়,CNI
"আমি ইন্টারনেট ব্যবহার করি, কিন্তু আপনাদের ইন্টারনেট অফার গুলোর দাম অনেক বেশি এবং মেয়াদ দেন অনেক কম এমবি কিনতে কিনতে কুল পাইনা",CNI
সেই নেটওয়ার্ক এতো সাদ ক্যা?,CNI
আমাদের এলাকাতে নেটওয়ার্ক পায় না,CNI
বাংলালিংক গ্রাহকদের জন্য সবসময় আকর্ষণীয় অফার দিয়ে থাকে। বাংলালিংক-এর সাশ্রয়ী মূল্যের আকর্ষণীয় বিভিন্ন ইন্টারনেট অফার পেতে –… See more,CNI
ভাই আমি ঢাকাতে থাকা কালীন বাংলালিংক সিম ব্যবহার করতাম খুব ভাল ছিল ওখানের নেটওয়ার্ক। কিন্তু যখন আমি গ্রামের বাড়ি চলে আসি এখানে বাংলালিংক এর নেট পাওয়া যায় না খুব সমস্যা এখানে নেটে তাই আমার বাংলালিংক সিমটা মোবাইল থেকে খুলে রাখতে হয়েছে আমাদের এই এলাকা… See more,CNI
নেট একদম বাঝে আর এমবির অনেক দাম সিম চালানোই অফ করে দিবো,CNI
আর mb কিনলেও মেয়াদ থাকে মাএ 3 দিন.....25 taka থেকে 30 এর মধ্যে 1gb 7দিন মেয়াদ থাকলে ভালো হতো... বাইরে 4g জানালার পাশে 3g ঘরের ভিতরে net E হয়ে য়ায়। অন্তত পক্ষে 25 টাকার মধ্যে 1gb 7 দিন না হোক তিন দিন হলেও দেন 25 takai এটাও নাই,CNI
এখনো 4G নিয়ে থাকেন। এদিকে বিশ্বে 5G ছাড়িয়ে 6G তে পৌঁছেছে অথচ আপনাদের 5G চালু করা নিয়ে কোনো মাথাব্যথা নেই।,CNI
নেটওয়ার্ক অনেনেনেনেনেক ভালো,CNI
নেটওয়ার্ক তো অনেক ভালো এতোই ভালো যে রুম এ প্রবেশ করলে ইমার্জেন্সী হয়ে যায়,CNI
দেশের FASTEST 4G নেটওয়ার্ক...,CNI
সবচেয়ে সেরা ইন্টারনেট বাংলালিংক তবে এই সিমটি সব জায়গায় নেট পায় না। দয়া করে সমস্যা টা সমাধান করুন,CNI
Banglalink Digital বাংলালিংক সিম ফোনে থেকে খুলে বেশ কদিন ফেলে রাখার পরে সেই সিম আর কাজ করছে না নো নেটওয়ার্ক এবং ইমারজন্সি নেটওয়ার্ক দেখাচ্ছে কিভাবে ঠিক করব,CNI
ভাই বাংলালিংক নেট তো দুর্বল ভাই,CNI
"Banglalink Digital সবই কিছুই করছি কিন্তু নেট ভাল দেয় না,, তাই সিমটা ফেলে রেখেছি, যেদিন শুনব ভাল চলে সেদিন চালাতে পারি",CNI
আমি যেখানে থাকি এখানে নেটওয়ার্কের সমস্যা হয়।,CNI
"দেশের সপচাইতে,, fastest,,দুর্বল নেটওয়ার্ক",CNI
ইন্টারনেট অনেক ভালো কিন্তু কথা বললে টাকা বেশি কাটে।,CNI
কারন সিমগুলা চালু করলে এমন 4G নেটওয়ার্ক পায় যে 500MB ডাউনলোড দিয়া শেষ করতে ৩ঘন্টা লাগে।,CNI
আমাদের নোয়াখালীতে আপনাদের নেটওয়ার্ক এতটা ভালো না...যদি সম্ভব হয় একটু কাজ করে নিন,CNI
দুঃখিত! ২৫ টাকায় ১ জিবি ৭ দিন মেয়াদ ইন্টারনেট অফারটি বর্তমানে এভেইলেবল নেই।… See more,DP
"ফাস্টট নেটওয়ার্ক এটা ঠিক আছে, কিন্তু ঘরের ভিতরে বর্তমান সময়েও NO SINGLE..",CNI
এমন Fastest 4G নেটওয়ার্ক,CNI
আমার রুমের ভিতর নেটওয়ার্ক পায়না।সাভার থানা,CNI
খুব বাজে চো.... নেটওয়ার্ক,CNI
কিন্তু টাওয়ার থেকে নেট সার্ভিস পাইনা।,CNI
আগে আমাদের এলাকায় নেটওয়ার্ক টা ঠিক করেন।। পরে যা হবে৷ সিম নেটওয়ার্ক ই থাকে না সিম নিয়ে কি করবো,CNI
যেখানে নেটওয়ার্ক থাকে না সেখানে স্পিড মানিউ বিলাসীতা,CNI
"সারাদিন গুতাই গুতাই চলে, সন্ধ্যা হলে নো সার্ভিস। এটাই তো বাংলালিংক এর ফাস্টেস্ট নেটওয়ার্ক। ভাওতাবাজ",CNI
বাংলালিংক একটি অসাধারণ 4G নেটওয়ার্ক,CNI
But নেটওয়ার্ক একটু সমস্যা..!!… See more,CNI
Banglalink Digital হ্যা কত ভালো অফার দিচ্ছেন তাতো দেখতেই পাচ্ছি ২৫ - ৪২ টাকা পযন্ত ১ জিবি ইন্টারনেট কিনতে হয়।এটা কি সাশ্রয়ী মুল্য??,DP
নেটওয়ার্ক পায়না দেখে আপাতত ব্যাবহার করিনা সিমটা পরে আছে।,CNI
নেটওয়ার্কের বেহাল দশা,CNI
কিছুই না ফাউল নেটওয়ার্ক তাই সিম বন্ধ করে রাখছি,CNI
আপনাদের নেট আবার একটা নেট হলো যার কোনো স্পীড নাই,CNI
আপনি কি ইন্টারনেট স্পীড জনিত কোনো ধরনের সমস্যা ফেস করছেন ?… See more,CNI
"ঘরের ভেতর খুব বাজে নেটওয়ার্ক,",CNI
Alex Megha দূর বেডি নেটওয়ার্ক এর জন্য সিম বন্ধ করে রাখছি আর আপনি আসছেন ১.৫ জিবি ফ্রী নিয়া,CNI
আমার বাংলালিংক ২ টা সিম আছে। নেটওয়ার্ক ভালোই। কিন্তু একটাও ব্যাবহার করি না।,CNI
"কারেন্ট না থাকলে নেটওয়ার্ক থাকেনা,,,, বা,,,,লের সার্ভিস দেয় বাংলালিংক",CNI
বালের নেটওয়ার্ক আমার.. ঘরের ভিতর গেলে 2g হয়ে যায়,CNI
নেটওয়ার্ক এর কারনে আমার ২টা সিম বন্ধ কর রাখছি।,CNI
বা***** লের নেটওয়ার্ক,CNI
আপনাদের অ্যাপ এ তো অফারে ভালো না কি সব অফার দিয়ে রাখেন অ্যাপস এর ভিতর আবার বলেন ইন্টারনেট মিনিট দুটোই একসাথে কত ধরনের আউল-ফাউল এমবির প্যাকেজ দিয়া রাখেন অ্যাপস এর ভিতর,DP
নেটওয়ার্কের অনেক সমস্যা,CNI
আমাদের এলাকাতে বাংলালিংক নেটওয়ার্ক এর কোনো অস্তিত্ব নেই,CNI
"ইন্টারনেট ব্যবহার করতাম তবে আপনাদের নেটওয়ার্ক সার্ভিস খুব খারাপ আমাদের জামালপুর জেলার ইসলামপুর থানার, ১১নং চরপুটিমারী ইউনিয়নের ১নং ওয়ার্ডের সূর্যনগর, চাঁদনগর ও আইড়মারী গ্রামে সকল বাংলালিংক গ্রাহকদের ঘরের বিরত নেটওয়ার্ক সমস্যার কারণে ইন্টারনেট ব্যবহার অ… See more",CNI
আমাদের এলাকায় টাওয়ার থাকা সত্বেও নেট নাই,CNI
"Amar চ্যাটের ফাস্ট, নেটওয়ার্ক ই থাকে নাহ আবার ফাস্ট",CNI
আপনি কি বেশি মেয়াদের মিনিট প্যাক সম্পর্কে জানতে চাচ্ছেন?… See more,DP
আপনাদের নেটওয়ার্কে গেম খেলা ভালো হয়না তার উপর তো আবার ভিপিএন লাগে,CNI
"নেট সার্ভিস একদম বাজে । ঢাকা শহরে 4g পাই না, গ্ৰামের কি অবস্থা আল্লাই ভালো জানে",CNI
মোটেও নেটওয়ার্ক পায় না,CNI
Banglalink Digital সমস্যা তো অনেক নেটওয়ার্ক খুব খারাপ,CNI
২০৫০ সালে আপনাদের নেট ভালো হইতে পারে... আর এই ভাবে আপনাদের বাংলালিংক একদিন হয়তো হারায় যাবে তাই আপনাদের উচিৎ যত তারাতারি সম্ভব নেটওয়ার্ক শক্তিশালী বানান,CNI
আর ইন্টারনেটের কথা বললে তো কোন কথাই নাই এমবির মেয়াদ কম কিন্তু দাম বেশি,CNI
বালের সিম বালের নেটওয়ার্ক,CNI
নেটওয়ার্ক ভালো কিন্তু MB এর দাম অনেক বেশি থাকার কারণে আমি,CNI
banglalink এর নেট সার্ভিস অনেক অনেক ভালো ব্যবহার করে খুব ভালো লাগলো সব থেকে প্রিয়,CNI
ইন্টারনেট/মিনিট কোন টা বর্তমান একদম ভালো নয় মনটা অনেক খারাপ আপনাদের প্রতি,CNI
আপনাদেরকে যে সার্ভিস নেট কিনলে মনে হয় ফোনটা ভাঙ্গে ফেলি । গুরুত্বপূর্ণ কোনো কাজ করার সময় ইমারজেন্সি মারে দেয়,CNI
Banglalink Digital ইন্টারনেট এর জন্য ভালো কোনো অফারই নাই,CNI
"১ বছর, ৫ বছর, ১০ বছর, এমন মেয়াদে ইন্টারনেট প্যাক আছে কি?? থাকলে বলেন",DP
"আমাদের এলাকায় নেটওয়ার্ক, ইন্টারনেট স্পিড যথেষ্ট ভালো। এই মুহূর্তের Screen shot দেওয়া হলো -",CNI
নেট কানেকশন ভালো চলে।,CNI
Banglalink Digital আপনাদের নেটওয়ার্ক সন্ধা হলেই যায়গা,CNI
নেটওয়ার্ক পাই না ০০ হয়ে থাকে,CNI
Banglalink Digital বাজে নেটওয়ার্ক,CNI
Banglalink Digital আমি বাংলালিংক এ ইন্টারনেট চালালে এক রাতে চার জিবি শেষ হয় অথচ জিপি তে একই কাজ করলে সর্বোচ্চ দুই জিবি এমবি লাগে প্রতি রাতে,CNI
এই হলো দেশের Fastest নেটওয়ার্কের Fastest সার্ভিস।,CNI
"তোমরা গ্রামের সার্ভিস ভালো দেও টাওয়ারের সংখ্যা খুবই কম উজিরপুরে,ইচ্ছে ছিল বাংলালিংক সিম ব্যবহার করবো,কিন্তু টাওয়ারের স্বল্পতার কারণে নেটওয়ার্কের যে অবস্থা।",CNI
নেট এর জা স্পীড আর মিনিট এর কথা তো বললাম ই নাহ,CNI
নেটের সমস্যার কারণে প্রেমিকার সাথে কথা বলতে পারতাছি না,CNI
"Banglalink Digital এগুলা কে সাশ্রয়ী প্যাক বলে না, আগে ৪০ জিবি নিতাম ৩৯৯ টাকায় এখন সেটা ৪৯৯ টাকা হয়ে গেছে, এই প্যাক টা আগের রেটে চাই।",DP
নেটওয়ার্ক একবারে আ পুনফুন্দাইন্না,CNI
এক দাগ নেটওয়ার্ক বর্তমান মিনিট কার্ড রিচার্জ করে কথা বলতে পাড়ি না এতো সুন্দর নেটওয়ার্ক,CNI
গ্রামীণ নেটওয়ার্ক থেকে ভালো এটা মানি,CNI
একটা যাতা অবস্থা নেটের,CNI
"বাংলালিংক গ্রাহকদের জন্য নিয়ে এসেছে দারুণ এক ইন্টারনেট অফার, একদম সাশ্রয়ী দামে! মাত্র ৫৮ টাকায় ২ জিবি প্যাকটি কিনতে হলে দয়া করে রিচার্জ করুন ৫৮ টাকা অথবা ডায়াল *১২১*৫৮#। মেয়াদ ৩ দিন। ব্যালেন্স চেক করতে দয়া করে ডায়াল করুন *১২১*১০০#। সক… See more",CNI
"দুঃখিত! আপনার কি ইন্টারনেট বেশি চার্জ হচ্ছে? ইন্টারনেট বেশি চার্জ করার কোন অপশন নেই। হ্যান্ডসেট কনফিগারেশন, ইন্টারনেট স্পীড এবং নেটওয়ার্ক কভারেজের উপরে নির্ভর করে ডাটা চার্জ হয়ে থাকে। আপনি যতটুকু ব্যবহার করবেন ততোটুকুই কাটবে। এছাড়া আপনা… See more",CNI
অনেক সুন্দর নেটওয়ার্ক আমার ঘরের ভিতরেই পাই না,CNI
বেশি ইন্টারনেট চালাই. কিন্তু বাংলালিংক,CNI
নেটওয়ার্কের সোদনে সিম অফ করে রেখে দিছি ৪ টা,CNI
"বাংলালিংক সিম বেবহার করি না বাজে সিম কারেন্ট গেলে নেটওয়ার্ক থাকেনা, আপনাদের সিম আপনারাই বেবহার করেন।ফকিরনি বাংলালিংক",CNI
নেটওয়ার্কই তো নাই চালাবো কিভাবে?,CNI
বাংলালিংকের এ নেট সবসময়,CNI
"আপনাদের নেটওয়ার্ক এতো ভালো যে অন্য অপারেটরে ১ জিবি তে ১ দিন চললে আপনাদের টায় চলে ২ ঘন্টা,, অতিরিক্ত এমবি কাটার জন্য ৪ টা বাংলালিংক সিম বন্ধ করে রাখছি এখন,, নেট ভালো কিন্তু এমবি চুমুক দিয়ে খায়,,,",CNI
সকল ইন্টারনেট প্যাক গুলো কি দেওয়া যাবে…?,DP
"Hasshokor net apnader..Electricity gele ar 3g, 4g backup thakena",CNI
এক নাম্বার বাজে নেটওয়ার্ক সমস্যা 2g পাইনা,CNI
বাংলালিনক এ ইন্টারনেট অফার একদম বাজে।,CNI
গতকিছুদিন আগে একটা সিম নিয়ে প্রথম কয়দিন ভালোই চলচিল কিন্তু এখনতো বাংলালিংক নেট থাকে না তাই বন্ধ করে দিছি,CNI
"সবচেয়ে বাজে ইন্টারনেট সার্ভিস প্রোভাইড করছে বাংলালিংক। নরমালি হোয়াটসঅ্যাপ, ইমো, মেসেঞ্জারে পর্যন্ত কথা বলা যায় না। প্রতি ১ মিনিটে ৪-৫ বার ডিসকানেক্ট হয়। যদি ইন্টারনেট সার্ভিস এর উন্নয়ন না করেন তাহলে এত বাজে নেট ইউজাররা কখনোই ব্যাবহার করবে না। আমি ২০০৫ … See more",CNI
আপনাগো নেটে অনেক অনেক সমস্যা করে,CNI
যেই এলাকায় থাকি ইন্টারনেট তো পাওয়াই যায় না,CNI
"আমার বাংলালিংকে কিছু পয়েন্ট আছে তাই আমি পয়েন্ট দিয়ে এসএমএস প্যাক কিনতে চাচ্ছি, এখন আমার প্রশ্ন এসএমএস কি শুধু বাংলালিংক থেকে বাংলালিংক এ সেন্ড হবে নাকি অন্যানো সিমে ও সেন্ড হবে, এই বিষয়টা জানালে খুব খুশি হতাম।",DP
কম দামে ইন্টারনেট এর কোনো অফার আছে কি,DP
"নেটওয়ার্ক ভালো,কিন্তু নেট ফুরাই অনেক তাড়াতাড়ি, আর তেমন কোন অফার নাই",CNI
ভাই আসলে আমি নিজেও বাংলালিংক চালাই 10 বছর দরে অনের আগে নেট ভালো পেতাম একন আর আগের মতো পাইনা,CNI
Banglalink Digital নেট স্প্রিড খুব স্লো।আর প্যাকেট রেট অনেক বেশি।রবি এয়ারটেল কম দামে প্যাকেজ দেয় এবং নেট স্প্রিড ও ভালো,CNI
ভাই দুটি ভালো কিন্তু কারেন্ট গেলে নেটওয়ার্ক থাকেনা,CNI
আপকি কি ইন্টারনেট অফার সম্পর্কে জানতে চাচ্ছেন?… See more,DP
আপনারাও বোঝেন।আপনাদের প্রতি গ্রাহক সন্তুষ্টি নেই বললেই চলে।না আছে নেটওয়ার্ক আর আছে কোয়ালিটি। আছে শুধু ঢোল।সেটাই সবসময় বাজান,CNI
নেট সার্ভিস খুব খারাপ,CNI
বলতে পারো ঢাকা তে বাংলালিংক বেস্ট নেটওয়ার্ক সার্ভিস দেয় ....পুরো দেশ বললে ভুল হবে .... আমাদের মানিকগঞ্জ হরিরামপুর এ সব সময় ইমারজেন্সি কল এসে থাকে .... ব্যালান্স চেক করতে গেলেও ৩/৪ বার ডায়াল করে তারপর ব্যালেন্স দেখতে পারি ...আর ইন্টারনেট এর কথা কি ব… See more,CNI
Banglalink Digital 1.5 GB free,DP
দেশের বুকাদুচা নেটওয়ার্ক,CNI
আমার এখানে নেটওয়ার্ক ভালো বাট আমার বাংলালিংক 4g সিম নাই আমার সিম 3g এখন আমার সিমটা কি ভাবে 4g করব,CNI
আপনাদের সিমের নেটওয়ার্ক স্পীড দেখে আমি বাংলালিংক সিন আর এমবি কিনবো না এইটা ভেবে নিছি আর সিম টাই খুলে ফেলেছি ।,CNI
আপনারা দেশের fastset নেটওয়ার্ক কে বলেছে?,CNI
ইন্টারনেট বাট আরেকটু ভালো হওয়ার চেষ্টার অপেক্ষায় আছি,CNI
আসলেই দেশের ফাস্টেস্ট নেটওয়ার্ক।,CNI
"হেগো নেটওয়ার্ক ভালো নাই সব যায়গা তে কভারেজ দেয় না, কিছু কইলেই স্যার দুঃখিত, কোন এলাকায় সমস্যা পাচ্ছেন জানান। অভিযোগ রাখুন হেন তেন শেষ মেষ কিছুই না। ফালতু সিম বাংলাদেশের সব।",CNI
বাংলালিংক সিম আছে কিন্তু নেটওয়ার্ক নাই তাই ব্যবহার করতে পারছি না।।।,CNI
কোনটাই না আমাদের এদিকে নেটওয়ার্ক পায় না,CNI
বাংলালিংক সব সময়ই গ্রাহকদের জন্য সাশ্রয়ী মূল্যে এবং অধিক মেয়াদে আকর্ষণীয় অফার দিয়ে থাকে। বাংলালিংক-এর আকর্ষণীয় বিভিন্ন মিনিট/ইন্টারনেট অফার পেতে – … See more,CNI
ঠিকমতো নেটওয়ার্ক না পাওয়ায় সিমটা ভেঙ্গে ফেলছি,CNI
বাংলালিংক নেটওয়ার্ক মুটামুটি কিন্তু,CNI
অন্য এলাকার টাওয়ার থেকে নেট সংযোগ আসে।… See more,CNI
দেশের বৃহত্তম ফাস্টটেট নেটওয়ার্ক বাংলালিংক সাথে আছি থাকব সব চেয়ে কম টাকা বাংলালিংক সিমই কাটে,CNI
"ব্যবহার হতো করি ইন্টারনেট, কিন্তু পেক গুলোর যেভাবে দাম বাড়াইছেন আর কিছু দিন পরে বাংলালিংক বাদ দিয়া অন্য সিম ব্যবহার করতে হবে,তাছাড়া আমাদের এলাকায় টাওয়ার আছে সেটা বিদ্যুৎ যতক্ষণ থাকে ততক্ষণ চলে, আবার বিদ্যুৎ চলে গেলে আর নেট পাওয়া যায় না",CNI
নেটওয়ার্ক অনেক ভালো পায়,CNI
হাইরে তোদের নেটওয়ার্ক!,CNI
Banglalink Digital আমাদের এদিকে বাংলালিংক এর টাওয়ারি নেই তো নেটওয়ার্ক পাবে কথা থেকে,CNI
আপনি কি নেটওয়ার্কজনিত কোনো সমস্যা ফেস করছেন? … See more,CNI
শীগ্রই বাংলালিংক নেটওয়ার্কে যাবো।,CNI
Banglalink Digital আরে ভাই আপনারা জানেন না এমন কোন কথা না এসব ফরমালিটি বাদ দিয়া নেটওয়ার্ক ঠিক করে দেন দয়া করে। এতদিন ধরে বাংলালিংক ইউজার বলে সিম ফেলতেও পারছিনা কিন্তু যদি কল ই না ঢুকে ইন্টারনেট ইউস তো সপ্নের ব্যাপার।,CNI
বাংলালিংক সিম ইন্টারনেটের দাম অনেক বেশি তাই আমি সিম পরিবর্তন করে ফেলবো,CNI
আমদের এখানে নেটওয়ার্ক সার্ভিস ভালো না তাই ইউজ করি না এই সিম,CNI
বাংলালিংক সিমই বাদ্দিয়ে দিবো কারণ আপনাদের নেট স্পিড একদম বাজে এবং অফারের যেই দাম বাপের জমিন বিক্রি করে অফার নিতে হবে।,CNI
প্রচুর নেটওয়ার্ক সেই জন্য বুঝি 3G আসে-------------------------------------না,CNI
বাংলালিংক এর সবই ভালো তবে সবজায়গায় নেট নাই,CNI
যে ফালতু নেট তার আবার মিনিট আর ইন্টারনেট,CNI
সব ঔ নেটওয়ার্ক ভালো লাগছে,CNI
আমার এলাকায় নেট ই তো পায় না,CNI
ঘুষ দিয়ে দেশের fastest নেটওয়ার্ক এর স্বীকৃতি পাওয়া যায় হওয়া যায় না গ্রামীণফোন থেকে ট্রেনিং নিয়ে আসবেন।একটা কথা আছে ফাঁকা কলসি বাজে বেশি,CNI
আমার অফার bl অ্যাপে 1.GB 45 টাকা...,DP
নেটওয়ার্ক অনেক খারাপ কথা বলার মতো নেটওয়ার্ক নাই,CNI
বেজমেন্ট এ ও 4G নেট চলে।,CNI
"আমার ঘরে তো ৪ জি পাইনা...। এজন্য রবি, জিপি ইন্টারনেট ব্যবহার করি",CNI
"অন্য যে কোন সিমের চেয়ে বাংলালিংক সিমে ইন্টারনেটের সবচেয়ে ভালো অফার পাওয়া যায়, এটা সত্যি প্রশংসনীয়",DP
সুপারফাস্ট লোয়ার নেটওয়ার্ক!!,CNI
নেটওয়ার্ক সার্ভিস আগের চেয়ে দূর্বল হয়ে গেছে তবে মোটামুটি ঠিক আছে।,CNI
কারেন্ট গেলে স্পিড 200 KB/s এর উপরে উঠেই না। আর নিজেরে ফাস্টেস্ট 4G নেটওয়ার্ক দাবি করেন। what a joke.,CNI
আমাদের গাইবান্ধার মধ্যে তো নেটওয়ার্ক পাই না তাই কেও চালাই না সিম,CNI
আমার হে**ডার নেটওয়ার্ক রুমের ভিতর 2G পায় না.,CNI
আগে আমি গ্রামীন সিম ব্যবহার করে গেম খেলতাম ভালো নেট দিত না। পরে একটা বাংলালিংক সিম কিনলাম মাশাল্লাহ এখন আমারে গেমেই ঢুকায় না,CNI
নেটওয়ার্ক সমস্যা হয় খালি,CNI
হ্যালো স্যার আপনাদের বাঙালির নেটওয়ার্ক খুবই খুবই খারাপ কারণ আমাদের এলাকা প্রায় 8 থেকে 10 বছর অভিযোগ জানিয়ে আছি কিন্তু নেটওয়ার্ক উন্নতি করা হয় নাই মুন্সিগঞ্জ জেলা শ্রীনগর থানা আল আমিন বাজার কাঠালবাড়ি গ্রাম,CNI
আপনেরা কন ফাস্টেস নেটওয়ার্ক। 4G নেটওয়ার্ক। আর এই দিকে আমার কথা কউনের মতো ও নেট থাকে না। যেই হে** নেট তাতে কথা কউয়া দায়।এইডা দিয়া আবার ইন্টারনেট চালামু।আগে গিয়া নেট ঠিক করেন ব্যাঙ।,CNI
বেশি ব্রাউজিং-এর জন্য বাংলালিংক দিচ্ছে আনলিমিটেড মেয়াদের সাথে ৪০ জিবি ইন্টারনেট মাত্র ১১৯৯ টাকায়। প্যাকটি কিনতে হলে অনুগ্রহ করে ডায়াল করুন *১২১*১১৯৯# অথবা রিচার্জ করুন একবারে ১১৯৯ টাকা। অফারটির মেয়াদ ১০ বছর। ৪০ জিবি ইন্টারনেট ২৪ ঘণ্টা … See more,CNI
হাহা দিলাম নেটওয়ার্ক সার্ভিস ঠিক কর আগে,CNI
