comments,labels
Apndr VoLTE supported list update krben kobe iPhone 14 pro max er jonno?? Aga physical sim a support petam ekon eSim a VoLTE support nai.,PR
Ami 5gb net nece kinttu use korte partece na plz help me,CNI
Onugroho kore janaben apni prepaid naki postpaid sim use korchen?… See more,PR
Valo kono offer a ase na,DP
Robi মাই অফার এই অফার গুলো পেতাম কিন্তু এখন পাই না তাই সিম চালানো বন্ধ করে দিয়েছি।,DP
গত কয়েক দিন আগে আমার একটা রবি সিম হারায় গেছে তো রিপ্লেস করার জন্য কত টাকা লাগবে?,CCI
"Ji, ullekkhito pack ti duiuye apni shob kichu upobhog korte parben. … See more",DP
রবি কাস্টমার কেয়ারের নাম্বার টা....,DP
Robi sim kto tk loon niyece..amr mne ney...kivabe chek krbo,PR
"Robi shobsomoy customer der best service ebong offer dewyar try kore thake. Amader shokol offer customer der kotha mathay rekhai design kora hoy. Echara, aro janiye rakhchi, amader shokol offer time to time update kora hoy.",DP
"টানা ৬ মাস যদি রবি সিমে কোন রিচার্জ না করি, তাহলে কি সিমের কোন সমস্যা হবে",PR
Are you experiencing any issues regarding Robi's offers or services? Please let us know if you are facing any issue. Hope we will be able to provide you solution.… See more,DP
আপনাদের নেটের যে অবস্থা ভয়েস কলে কথা বলা যায় না আর নেট,CNI
Ami je 297 taka dial kore matro 3 gb paisi baki mb gula ki paua jabe...dile onek opokar hoito...amr toh ajke atar offer silo.. Baki 13 gb mb diye diley hobe...,DP
"মাই রবি অ্যাপ প্রথমবার ইন্সটল করে পাচ্ছেন ১ জিবি বোনাস, যার মেয়াদ থাকবে ৩ দিন।… See more",DP
robi 5 takay sms nibo kivabe.. ar ta check korbo kivabe???,PR
"রবি এই অফার দিছিল,,কিনতে গিয়ে আপনাদের ২ নাম্বারি দেখতে পেলাম",DP
আমার বাসায় রবির নেট বেস্ট। সব কিছুই রবি নেটোয়ার্কে চলে,CNI
Robi network problem.k.p.ghose street.bongshal.dhaka.,CNI
"রবি চিটিং, চোর, ১৩২ টাকায় মাত্র ৬০০mb দিয়ে টাকাগুলো হাওয়া করে দিছে, রবির সিই ও চোর। এরা বিভিন্ন অফারের ফাঁদে ফেলে জনগণের টাকা চুরি করে।",DP
"এপসে দেখলাম ৩৪৯ টাকায় কোন রিচার্জ অফার নেই,কিন্তু ৩৪৯ টাকা রিচার্জ করার সাথে সাথেই টাকা কেটে নিয়ে মাত্র ৭ জিবি দেওয়া হইলো।",DP
কাষ্টমার কেয়ারে কথা বলার জন্য ১২১ ডায়েল করে কতো প্রেস করতে হবে?,DP
সবচেয়ে বেশি ফেসবুক আর ম্যাসেঞ্জার ইউজ করি তবে আপনাদের ঢেলা গাড়ির নেটে না জিপি দিয়ে ইউজ করি,CNI
এই সিম নেটওয়ার্ক পাওয়া জায়না।এমবি কিনতে বেশি টাকা লাগে,CNI
দীর্ঘ সাত বছর যাবত মাই রবি ইউজ করে আসছি আজ পর্যন্ত ভালো কোন অফার পেলাম না,DP
robi ar net atw slow hoyse kno,CNI
25 টাকাই কি এমবি অফার আছে,DP
বাংলালিংক সিমে ১.৫ জিবি একদম ফ্রি।,DP
এই ৪ টা এপ এর মধ্যে শুধু মাই রবিতে বার ঢুকে এমবি চেক করি আর বাকি গুলায় জাই এ না,PR
J net! Tai sim off kore dichi,CNI
একলা চল পথ চিনতে কার সহয়তা লাগবে না,PR
১ মাসের কত টাকা মিনিট আছে??,PR
"ডায়াল করে এমমি কিনছি, কিন্তু এমবি দিচ্ছে না কেন??",PR
সব জায়গায় নেটওয়ার্ক পাওয়া যায় না,CNI
"এখন রবি গ্রাহকরা উপভোগ করতে পারবেন আনলিমিটেড ইন্টারনেট প্রতিদিন। সকল গ্রাহক ইজি লোড,ইউএসএসডি কোড অথবা মাই রবি অ্যাপ থেকে রিচার্জ এর মাধ্যমে এই অফার নিতে পারবেন।… See more",CNI
আপনাদের রোমিং করতে কত টাকা ফি লাগে,PR
Balo konu offer pai nah,DP
রবিতে আমাকে এই অফারটা দেওয়া হয়েছে বিকাশ নগদ থেকে কি ১৮ টাকা রিচার্জ করলে পাওয়া যাবে mb,DP
"মাই রবি অ্যাপ প্রথমবার ইন্সটল করে পাচ্ছেন ১ জিবি বোনাস, যার মেয়াদ থাকবে ৩ দিন। … See more",DP
Network up/down kore kaj korte parina,CNI
48 পয়সা কল রেট ভেট সহ কত পয়সা মিনিট কাটবে,PR
বিটিআরসি নির্দেশনা অনুযায়ী আপনার প্যাকের মেয়াদ থাকা অবস্থায় একই ভলিউম-এর যেকোনো প্যাক কিনলে আগের প্যাকের অব্যবহৃত অংশ ক্যারি ফরওয়ার্ড হবে। … See more,DP
রবি সিমতাতে বেশি টাকার এমবির অফার ৩০০/৪০০/৫০০ টাকার কি করলে কম টাকার এমবি আসবে,DP
Bondho songjog er offer janta cai?,DP
রবি সিমের ৩০ দিনের ইন্টারনেট অফারগুলোতে টাকার তুলনায় এমবির পরিমাণ কম দেয়।,CNI
সিম 4জি কি না তা দেখবো কিভাবে?,PR
Robi লোকাল নাম্বারে কথা বলতে পারি না আপনাদের সঙ্গে কেন একটু জানান,AV
এইটা কি কোন স্পেসিফিক এপস প্যাক?,DP
৭ টাকায় ১১ মিনিট কোড টি দেয়া যাবে?,PR
"আপনাকে আমাদের রবি সেবাকেন্দ্র, রিটেইল পয়েন্ট, অফিশিয়াল ওয়েবসাইট এবং মাই রবি অ্যাপ থেকে সিম কিনার জন্য অনুরোধ করছি। এছাড়া,আপনি এখন ঘরে বসে ডোর স্টেপ সার্ভিসের মাধ্যমে সিম কিনতে পারবেন।… See more",PR
Garhokder kotha chinta kore robi time to time offer gulo poriborton kore thake.… See more,DP
১। এনআইডি কার্ড সংশোধন সার্ভিসঃ,IS
"Robi te aga 23 takai 3GB dito (2GB data +1GB Facebook),",NS
১৬ টাকায় ১জিবি কোড টা দেওয়া যাবে,DP
৩ দিন মেয়াদের এমবি প্যাকের মেয়াদ শেষ হওয়ার আগে যদি ৩দিন মেয়াদের অন্য আরেকটি প্যাক কিনি তাহলে কি পূর্বের প্যাকের মেয়াদ বাড়বে?,PR
এত স্পিড সিমে ক্যান প্লিজ স্পিড কমাই দেন।।স্পিড বেশি দেখে আমার এম্বি যায় বেশি,PR
এই প্যাক টি binge প্যাক। এই প্যাক টি শুধু মাত্র binge অ্যাপ এ ব্যবহার করা যাবে।… See more,DP
আপনাদের রবি ভিয়াইপি নাম্বার কোড কোনটি,AV
রবি সার্ভিস একদম ভালো না..নেটওয়ার্ক পায় না ঘরের মধ্যে ..,CNI
Family pack ato update dila kinbo kevaba.....koi din por por update dan ar dam bareya dan......,DP
ভাই এখন কি রবি সিমে রেফার করা যায় আগের মত,PR
আমার এই নাম্বারটি বিগত কয়েকবার নষ্ট হয়ে গেছে।,AV
রবিতে ৩৫ টাকা রিচার্জে কোনো রেগুলার অফার আছে??,DP
ইন্টারনেট প্যাকের দাম দিন দিন এতো বেড়ে যাওয়ার কারণ কি?,CNI
basar jonno ekta notun robi sim niya lagbe. vabtechi esim nibo. savar e e-sim ki vabe nite pari?,PR
১৫ জিবি ১০০ মিনিট ইউজ করথাম একন আর দেয়না,DP
আমাদের কম্পানিতে online কাজ করার জন্য কিছু member লাগবে ।,PR
মাই রবি অ্যাপ থেকে আপনার নম্বরের সকল অফার জ… See more,DP
রবি সীমে এস এম এস কিনলে কি সব সীমে এস এম এস করা যাবে?,PR
"কথা বলার নেটওয়ার্ক এখনো পেলাম না, তাহলে ৪.৫ নেটওয়ার্ক কেমনে হল??",CNI
"হ্যা, প্রায় ৭-৮ মাস বন্ধ ছিলো,",PR
Number hide kore kotha bolte parben...,PR
আমাদের এখানে রবি এয়ারটেল এ কেমন কেউ ইন্টারনেট ব্যবহার করেন এর সবচেয়ে বড় কারণ হচ্ছে এখানে নেটওয়ার্ক খুবই দুর্বল এই আছে এই নেই এখানে নেটওয়ার্ক যদি ভালো হতো ম্যাক্সিমাম মানুষ রবি একটা সিম ব্যবহার করতো,CNI
Apni ekhon *4# dial kore Robi regular internet package gulo dekhte ebong shubidha moto purchase korte parben. Othoba kindly nicher link ti visit korun-… See more,CNI
রবি সব এলাকায় ভালো নেট পায় না রবির টাওয়ার কাছে থাকার পরেও নেট অনেক কম পায়,CNI
"এটি আমাদের স্পেশাল অফার। আমাদের স্পেশাল অফার গুলো ডে ওয়াইজ হয়ে থাকে। আপনি এসএমএস পাওয়ার পর ঐদিন, রাত ১১:৫৯ এর মধ্যে গ্রহণ করতে হয়। পরবর্তী দিনে আপনার জন্য অফার টি নাও থাকতে পারে।",DP
আরেক জনের এক সিম আমি চালাই সেই সিম আমার নামে রেজিষ্ট্রেশন করতে পারব কি,PR
প্রতিদিন ৩০০-৪০০টাকা উপার্জন করতে পারবেন।… See more,PR
Amar eai sms ta ase but রেজিস্ট্রি করা আছে আমারে তো fere দেন na,PR
Apnar moto customer peye amra anondito. Robi er sathe thakun.… See more,DP
"জি, আপনি যেকোনো মাধ্যমে রিচার্জ করলেই এই অফার টি উপভোগ করতে পারবেন।… See more",DP
ফোনে তুললে সিমটি support নেয় না বন্ধ হয়ে গেছে কি কারণে???,PR
B ফুল নাম পরিবর্তন ও নামের যে কোনো সংশোধন করা হয় … See more,AV
রবির নেটওয়ার্ক বাসায় ডুক আর থাকেনা,CNI
"মাই রবি অ্যাপ টি রেফার করতে অ্যাপ এর ফিচার মেন্যু থেকে ""রেফার এ ফ্রেন্ড "" অপশন এ গিয়ে অ্যাপ ডাউনলোড এর লিংক টি কপি করে পাঠিয়ে দিন আপনার বন্ধু কে, এছাড়াও সরাসরি হোয়াটসঅ্যাপ, মেসেঞ্জার, অথবা আপনার পছন্দের যেকোনো প্লাটফর্ম থেকেও পাঠাতে পার… See more",PR
আপনি যদি পোষ্টপেইড সিম ব্যবহার করে থাকেন তাহলে *৮৪৪৪*৯৯৯৯# অথবা *১২৩*৯৯৯৯# কোডটি ডায়াল করে ১০ বছরের জন্য পিপিইউ বন্ধ করে রাখতে পারবেন। … See more,PR
Robi এমবি ত অফার করা যায় তাইনা,DP
ajker best offer ki ache?,DP
রবি ব্যবহার করি কিন্তু নেটওয়ার্ক ভালো না,CNI
অন্য অপারেটর থেকে এমএনপি করে রবিতে আসলে কি কি অফার পাওয়া যাবে?,DP
একজন গ্রাহকের সিম ক্রয় করা নূন্যতম বয়স ১৮।… See more,PR
"আপনার অববগতির জন্য জানাচ্ছি যে, গ্রাহকদের ব্যবহারের উপর ভিত্তি করে ডাটা চার্জ করা হয়ে থাকে।… See more",DP
Jekono Retail point ebong Robi sheba center theke Robi notun Prepaid songjog ti kinte parben matro 250 takay. Akorshonio shob offer er details niche dewoa holo .… See more,DP
Bistarito bhabe janaben apni ki dhoroner problem face korchen? Amra amader jotha shombhob cheshta korbo apnake help korte. … See more,PR
Bondo simar ofar payta hola koto din amay fobi sim bondo rakta hoba?,PR
robi রিচার্জ কার্ড কি ভা‌বে রিচার্জ কর‌বো?,PR
আমার রবি সিম কোন অফার মেসেজ আসতেছে না,DP
"মাই রবি অ্যাপ থেকে এখন দেখতে পারবেন আপনার অ্যাকাউন্ট এর বিস্তারিত সকল ইনফরমেশন, এক্টিভেট করতে পারবেন বিভিন্ন সার্ভিস এবং অফার সমূহ। এই অ্যাপ ইন্সটল করে আপনি দেখতে পারবেন কারেন্ট প্রিপেইড প্ল্যান,… See more",DP
আপনাদের নেটওয়ার্ক সার্ভিস এতো ভালো যে সিম চেঞ্জ করে অন্য সিম লাগাতে হয়েছে তাই আপাতত কিছু জানার নেই,CNI
"Network thik koren age,, current gelei no service",CNI
robi sim use kore valoi lage,PR
আমরা সবসময় গ্রাহকদের বেস্ট অফার এবং সার্ভিস দেওয়ার চেষ্টা করে থাকি। আমরা সবসময় কাস্টমারদের চাহিদার কথা মাথায় রেখেই সকল অফার দিয়ে থাকি। আরও জানিয়ে রাখছি আমরা অফারগুলো টাইম টু টাইম আপডেট করি।,DP
আর এমবির দাম অনেক।তাই আমি রবি ইউজার হয়ে খুশি নেই,PR
Eii handset tite রবি sim use করে ইন্টারনেট ইউজ করা যায় কিন্ত কল দেওয়া jacce না.... অন্য handset sim dile run kore এটাr কি কোনো Solution ace??,CNI
রবি এতো নিকৃষ্ট ইন্টারনেট সেবা দিচ্ছে যা বলা বাহুল্য,CNI
আমার মাসে ৩জিবির উপর এমবি প্রয়োজন হয় না কারণ আমার বাসা থেকে দোকানে দূরত্ব বেশি না এবং আমি বেশিরভাগ ওয়াইফাই ব্যবহার করি টুকটাক প্রয়োজনে এমবি ব্যবহার করতে হয় বাসা অথবা দোকানে বাইরে গেলে মাঝখানে রবির সিম চালিয়েছিলাম 2 জিবি 3 জিবি এক মাসের মেয়াদ পেত… See more,DP
মাসে ১২০০ টাকার এমবি লাগে,PR
আমার সিমের মেসেজ এর লিমিট শেষ হয়েছে দয়া করে আমাকে সাহায্য করুন কি করলে ভালো হবে..,PR
আমার ১০৯ টাকা ফেরত দেন।,PR
"বাংলাদেশের মানুষ বাংলাদেশের সিম ইউজ করছে ,… See more",PR
Offer valoi dei but Network onek problem,CNI
আসসালামু আলাইকুম আমাদের মৌলভীবাজার শহরে কেন রবি সিমের ফেক্সি লোড নাই সেটা বলেন আজ প্রায় দীর্ঘ এক মাস ধরে সিমে রিচার্জ করতে পারছি না,PR
আমার সিমে ডাটা ওন করলে ওন হচ্ছে না কেন,DP
"রবি এবং এয়ারটেল এক কোম্পানির না। মানে বলতে চাচ্ছি, এক ধরনের সিম",PR
রবি এবং এয়ারটেল একই নেটওয়ার্কের আওতায় ।… See more,CNI
ঘরের মধ্যে নেটওয়ার্ক পায় ই না...,CNI
২৯ টাকা দিয়ে আমি এমবি কিনতাম। এখন বলেন আমি মিনিট দিয়ে কি করবো?,PR
"আপনার অবগতির জন্য জানিয়ে রাখছি যে, রবি গ্রাহকদের জন্য আমাদের বেশকিছু ডাটা স্ক্র্যাচ কার্ড চালু আছে। আপনি নিকটস্থ রিটেইল পয়েন্ট, রবি সেবাকেন্দ্র থেকে ডাটা স্ক্র্যাচ কার্ড কিনতে পারবেন।… See more",DP
gopalgonj e kothay kothay customer care ache apnader?,DP
"Amar dakha sob theke vodai network holo robi, jeta gorer vator network pay na kintu rastay network pay",CNI
Ami agey jei network er under e chilam shetai ami praye shomoy problem face kortam. Ami jehetu game khelte pochondo kori so net buffering holey jhamela e hoto. Pore Robi te ashar por dekhchi ei problem ta ar korche na. Ekhon ami anonde game khelte pari… See more,CNI
আমরা সবসময় গ্রাহকদের বেস্ট অফার এবং সার্ভিস দেওয়ার চেষ্টা করে থাকি। আমরা সবসময় কাস্টমারদের চাহিদার কথা মাথায় দেখেই সকল অফার দিয়ে থাকি। আরও জানিয়ে রাখছি আমরা অফারগুলো টাইম টু টাইম আপডেট করি।… See more,DP
রবিতে মিনিট চেক করে কিভাবে,PR
"মিনিট ব্যালেন্স চেক করতে *২২২*৮#, *২২২*২# অথবা *২২২*২৫# ডায়াল করুন। … See more",PR
"Bistarito bhabe janaben, apni ki dhoroner shomosshar shommukkhin hocchen? Amra jotha sombhob cheshta korobo apnake sahajjo korar.… See more",PR
এদিকে আমার সিমে কম দামী কোন অফার নাই কেনো?,DP
Anar ekta sim asey kintu kon id card diye registration asey janina kivabe check korbo..?,PR
সিম রিপ্লেসমেন্টের জন্য ২৫০ টাকা চার্জ প্রযোজ্য হবে। সাথে আপনার জাতীয় পরিচয় পত্র সংক্রান্ত সঠিক তথ্য এবং আপনার আঙ্গুলের ছাপ প্রয়োজন হবে।… See more,CCI
17 tk reacharge e ki kono offer ache?,DP
"আমাদের এলাকায় রবি নেটওয়ার্ক পায় না ১টা খুটি ছাড়া । স্হানঃ কুড়িগ্রাম জেলা,কচাকাটা থানা (নতুন), ১৪নং কেদার ইউনিয়ন,কচাকাটা বাজার",CNI
রবি সিম তুলতেও 300টাকা চাচ্ছে,PR
এই ইন্টারনেট প্যাক টা ব্যাবহার করতে পারছি না কেনো??,CNI
10-50 mb kinbo kivabe !?,PR
How can your tower be placed on our land,CNI
এম এন পি করতে কতো টাকা লাগে?,PR
"আপনি অ্যাপ এর মাধ্যমে ফ্যামিলি মিনিট চেক করতে পারবেন,",PR
৫৯ টাকা রিচার্জ এ পাবেন ৮৫ মিনিট মেয়াদ ৫দিন ।,PR
রবিতে কলরেট ও ডাটা রেট কমাতে হবে,DP
আপনার ডাটা প্যাকেজটি শেষ হয়ে গেলে কিংবা আপনার কোনো রকম ডাটা প্যাক চালু না থাকলে আপনার ইন্টারনেট ব্যবহারের সুবিধার্থে Pay Per Use (সম্পূরক শুল্ক + সম্পূরক শুল্কসহ মোট মূল্যের উপর ভ্যাট + সারচার্জ প্রযোজ্য হবে) অনুযায়ী ডাটা চার্জ প… See more,CNI
নতুন সিমের অফার কি কি আছে,DP
Vai sms dile eder response thake ng kno?ami nije robi user amr kub valo lge.but ekn ja suru korse too much,PR
"ঝটপট লোন একটি অন ডিমান্ড সার্ভিস, আপনার পূর্বের নেওয়া লোন টি পরিশোধ করে ফেললে ঝটপট সার্ভিস বন্ধ হয়ে যাবে। … See more",PR
Amar robi sim e keu kuno message dile ta astece na kno ... ????,PR
Robi my family package gula kmn valo service pawa jabe ki?? Robi,DP
কাস্টমার কেয়ারে কথা বলার অপসন কি বন্ধ করে দেওয়া হয়েছে?,PR
Amar mobile a massage ta ascilo. Kintu akhon dail korle no offer available boltace. Num:01859788947,DP
আমার একাধিক মিনিট pack কেনা আছে কিন্তু যেটার মেয়াদ আগে শেষ হবে ।কল করলে ঐটা কাটতেছে না,PR
Robi E-sim Noakhali te kothay pawa jabe?,PR
রবি সিমে pay-as-you-Go বন্ধ করব কি ভাবে????,PR
অফার টা এখন কিভাবে নিবো,DP
রবি সবসময় বেস্ট সার্ভিস দিয়ার ট্রাই করে,IS
আপনি যেকোনো একটি রেগুলার ডাটা প্যাক চালু করে নিলে আপনার জন্য Pay Per Use ব্যবহার প্রযোজ্য হবে না। … See more,DP
নিলফামারী সদর এর ১৪ নং চাপড়া সরমজানি ইউনিয়ন এ একটা টাওয়ার দিলে খুব খুব ভালো হতো,CNI
"না, স্যার। বর্তমানে ব্যালেন্স ট্রান্সফার শুধুমাত্র রবি থেকে রবিতেই চালু আছে। আপনার জীবনকে আরো সহজ করতে রবি নিয়ে এলো ব্যালেন্স ট্রান্সফার সার্ভিস। এখন চাইলে রবি ব্যবহারকারী বন্ধু বান্ধবকে নিজের ফোনের ব্যালেন্স পাঠাতে পারবেন যখন তখন। … See more",PR
মাত্র ১১৯ টাকা রিচার্জে পাচ্ছেনঃ,PR
"দেখতে পাচ্ছি, আপনি cinematic app এর ডাটা কিনেছেন। এর মাধ্যমে অন্য কোন ওয়েবসাইট বা অ্যাপ চালানো সম্ভব নয়।… See more",DP
"ভাই ফোন কেনা থেকে রবি সিম ইউস করে আসছি,, আগে অনেক ভালো service পাইছি,,, গত কয়েক মাস যাবত আপনারা এম বি এর দাম বাড়াইয়া দিছেন,,, ভাই এই ভাবে এম বি এর দাম বাড়াইলে এই সিম ইউস করা বন্ধ করে দিতে হবে",PR
Robi hot mb offer code koto,DP
নতুন নেটওয়ার্ক স্থাপন করার কোন পলিসি আছে আপনাদের।,CNI
Bondo sim offer dhakbo kibabe,DP
রবিতে এখন আপনি পাচ্ছেন বিভিন্ন মেয়াদের দারুন সব ইমো/হোয়াটসঅ্যাপ/ফেসবুক ডাটা প্যাক।… See more,DP
Apni ekhon *4# dial kore Robi internet package gulo dekhte ebong shubidha moto purchase korte parben. Othoba kindly nicher link ti visit korun-… See more,CNI
ami mobile kinbo.robi e sop er number ta din.,PR
"রাঙামাটি তে ইদানীং লক্ষ্য করছি আকাশ মেঘলা হওয়ার সাথে সাথে রবি,এয়ারটেল নেটওয়ার্ক সেবা বন্ধ হয়ে যাচ্ছে। বিদ্যুৎ না থাকলে কোনোভাবেই কারো সাথে যোগাযোগ করা যাচ্ছে না",CNI
Vhul kore 3 G sim a 4 G internet pack kine felsi ekhn mb ta niye jan amr tk ta firot diye den ami mb use korte parsi na,CNI
"জানিয়ে রাখছি যে, ক্রয়কৃত মিনিট থেকে আগে বোনাস মিনিট আগে শেষ হবে এবং এরপর মেইন মিনিট প্যাক টি খরচ হবে। … See more",PR
আপনাকে অনুরোধ করা হচ্ছে আমাদের থেকে ডাটা প্যাক কিনে ইন্টারনেট ব্যাবহার করুন।… See more,CNI
কিভাবে রবি সিমের রেফার করব,PR
রবির কম দামী অফার নাই কেনো?,DP
"বর্তমানে রবি নিয়ে এসেছে ""ডোর স্টেপ"" সুবিধা যার মাধ্যমে আপনি ঘরে বসেই উপভোগ করতে পারবেন ডোর স্টেপ এর আওতাভুক্ত বেশ কয়েকটি সার্ভিস।… See more",IS
"আগে অনেক ভালো সার্ভিস পেয়েছি আমরা,,",IS
কলরেট ইন্টারনেটের দাম কমান?,CNI
Kindly ei bishoye shahajjo pete Robi doordtep helpline e jogajog korun. Robi grahokra 121 e call kore othoba 09610000888 ei number e call kore ebong onno operator grahokra 01819400400 number e dial kore service ti niye bistariti shoho… See more,PR
Amr mb chai... Ami 297 taka diye dial kore mb kinsi but amake 3 gb dishe 16 gb er bodole... Please baki mb gula din..,PR
বাহিরে দারিয়ে দারিয়ে নেট চালাতে হয় ভালো লাগে না,CNI
"রবি সেবাকেন্দ্রের ঠিকানা হলোঃ রমনা টাওয়ার (নিচতলা), ৩৬/৭, সিডিএ এভিনিউ, মুরাদপুর, চট্টগ্রাম… See more",DP
আমি ফ্যামিলি প্যাক ব্যাবহার করছি আমার মিনিট বাকি আছে মেয়াদ ও আছে তবুও কল যাচ্ছে না। আগেও এমন টা হয়েছে। ব্যালেন্স এ টাকা না থাকলে কি মিনিট থাকার পরেও কি কথা বলা যায় না কি,PR
রবি সপ থেকে রবি প্রিপেইড সিম ২৫০ টাকা দিয়ে অর্ডার দিলে। সিমটা কোথায় ডেলিভারি দেওয়া হয়?? নিকস্ত রবি সেবা কেন্দ্রে নাকি হোম ডেলিভারি??,PR
Robi my family package gula kmn valo service pawa jabe ki??,DP
Apni ei offerti diye shob kichu bebohar korte parben ebong sathe paben free binge subscription.… See more,DP
রাজশাহীতে আপনাদের কাষ্টমার কেয়ার কোথায়?,DP
Prepaid sim er pey per use korbo kmne code ti bolen,PR
আজই ২২টাকায় ২জিবি মেয়াদ ৩০দিন নিতে ডায়াল *২১২৯১*৬১৭#,DP
Network Khubi bhalo korse robi,CNI
Robi ki Kon code Dail korle tk kom katbe ?,PR
Robi রবি-তে আজ ১০জিবি-৩০০মি-৩০দিন মাত্র ৳১৯৭ শুধুমাত্র *123*197*1# ডায়ালে,DP
"আমাদের এলাকা হচ্ছে চট্টগ্রাম, লোহাগাড়া, পুটিবিলা নারাকোল, আমাদের বাড়ির পাশে একটা টাওয়ার আছে, রবির টাওয়ার, তবুও আমরা কারেনট চলে গেলে কোন নেটওয়ার্ক পাচ্ছি না, কারণ যারা তেল দিতে আসে, আমাদের এলাকার সব মানুষই দেখতেছে তারা, তেল টাওয়ারে না দিয়ে আমাদে… See more",CNI
আমার ইন্টারনেটের মেয়াদ ছিল রাত ১২ টা‌ পর্যন্ত কিন্তু সকাল ১০:৩০ এ কেন চলে গেল?,CNI
কেরানীগঞ্জ এ রবি সেবা কেন্দ্র নেই। তবে আপনি পুরান ঢাকার রবি সেবা কেন্দ্রে ভিজিট করতে পারেন। আপনার সুবিধার জন্য ঠিকানাটি নিচে দেওয়া হলোঃ,DP
গ্রাম এলাকার উন্নতমানের নেটওয়ার্ক পৌছানোর জন্য।।,CNI
রবি থেকে এয়ারটেল সিমে টাকা ট্রাসফার করা যায় কি,PR
কুড়িগ্রাম জেলায় রবির নেটওয়ার্কের অনেক সমস্যা কোন ভাবেই নেটওয়ার্ক আসছে না,CNI
Amar sim e min thakar poreo min na kete taka katche ken min er meyad o ache 8 jun porjnto,PR
"ঝটপট লোন একটি অন ডিমান্ড সার্ভিস, আপনার পূর্বের নেওয়া লোন টি পরিশোধ করে ফেললে ঝটপট সার্ভিস বন্ধ হয়ে যাবে।… See more",PR
নতুন সিমের অফার সম্পর্কে বিস্তারিত জানতে চাচ্ছি,DP
01822-686572 এই নাম্বার থেকে কল যাচ্ছে ও না,AV
মাই রবি অ্যাপ থেকে আপনার নম্বরের সকল … See more,AV
বন্ধ রবি চালু করলে কি অফার আছে,DP
"Binge একটি অনলাইন ভিডিও স্ট্রিমিং সার্ভিস যা অফার করে লাইভ টিভি, ওয়েব সিরিজ, latest ওয়েব চলচ্চিত্র, Binge এক্সক্লুসিভ অরিজিনালস সহ আরও অনেক কিছু।… See more",DP
রবির আপডেট করা মিনিট ইন্টারনেট ও বান্ডেল প্যাকের ক্যালেন্ডার দেন,CNI
অন্যকোনো দিন এই অফারটি আপনার জন্য প্রযোজ্য হবে না।… See more,DP
আউট গোয়িং কল এ কল ধরে 4-5 সেকেন্ড এর ভিতর কল কেটে যায়। এ সমস্যার সমাধান কি?,PR
৬৮ টাকায় ৫ জিবি দিবে বলে দিলো ২.৫ জিবি...বাকি ২.৫জিবি আমাকে ফেরত দিবেন প্লিজ,DP
আমার সিমে টাকা ভরলে ১০ ১৫ টাকা কেটে নিতেছে আমি রবি এর কাস্টোমার কেয়ের এর সাথে কথা বলার জন্য চেষ্টা করছি ১২১ কল দিয়ে কিন্তু সেখান থেকে আমি কোনো সেভা পেলাম না,PR
family প্যাক এ কি পরিবর্তন করা হয়েছে?,AV
এইভাবে সিম বন্ধ করার মানে কি..?,PR
৯০ দিন পরে আপনি আবার পুনরায় অপারেটর পরিবর্তন করতে পারবে |… See more,AV
আপনাদের কোন কাস্টমার কেয়ার নাম্বার নাই? সরাসরি এজেন্টের সাথে কথা বলার কোন নাম্বার আছে?,AV
"আমাদের এখানে নেটওয়ার্ক খুব দুর্বল কি করা যায়, কক্সবাজার",CNI
আমাদের এলাকায় একটা টাওয়ার কবে করবেন,CNI
গ্রামীণ/ বাংলালিংক নেট ঠিকি পায়.!,CNI
বিস্তারিতভাবে জানাবেন আপনি কোন প্যাকটি এভেইল করতে গিয়ে এই ধরনের সমস্যার সম্মুখীন হয়েছেন? আমরা যথা সম্ভব চেষ্টা করব আপনাকে সাহায্য করতে।… See more,DP
আমাকে এই নাম্বারে কল দিন অনেক সমস্যায় আছি,AV
কতো টাকা রিচার্জ করলে টাকার মেয়াদ ১ মাসের চেয়েও বেশি হবে ?,PR
আপনারা কি পুরান রবি সিম নতুন রুপে বিক্রয় করেন ?,PR
5gb mb kinsi kono vabe use korte partasi na plz hlp,PR
৯১টকা রির্চাজ করলে কি মিনিট হয়ে যাওয়ার সম্ভবনা আছে,PR
রবি এ্যাপ থেকে ২৩ টাকার আনলিমিটেড অফার এটা নেওয়া যাইতেছে না কেনো,DP
আপনি ৩০০ টাকা বা তার বেশি টাকা রিচার্জ করলে আপনার মেইন অ্যাকাউন্টের ব্যালেন্স ৩৬৫ দিন হবে।… See more,PR
Robi bondho sim e data and call rate er offer ki?,DP
আমি 121 কল করে আপনাদের সাথে যোগাযোগ করতে পারছিনা,PR
"আমি ১০৮ টাকা রিচাজ করার ফলে মিনিট চলে আসছে আমি ব্যালেন্স চাই,সে ক্ষেত্রে আমার কী করা উচিত?",PR
আপনার ডাটা প্যাকটি দিয়ে আপনি শুধুমাত্র Binge ব্যবহার করতে পারবেন।,DP
দেখাইছেন ১২৯ টাকা রিচার্জে ৪+৬ মোট ১০ জিবি ইন্টারনেট আর দিলে মাত্র ৪ জিবি।এরকম পাটপারি করেন কেন?? রবি মানেই কি এরকম পাটপারি।আমাদের কি টাকা কামড়ায়?,CNI
Robi pripaid bolte ki bujhay r post paid bolte kon sim k bujhano hoy?,PR
Can i have Narayanganj robi customers care number?,DP
